Date,Open,High,Low,Close,Adj Close,Volume
2004-04-19,2.267500,2.455000,2.245500,2.314500,2.314500,1023608000
2004-04-26,2.316500,2.440000,2.165500,2.180000,2.180000,826050000
2004-05-03,2.174000,2.257500,2.084000,2.095000,2.095000,724276000
2004-05-10,2.061500,2.206500,2.028500,2.152500,2.152500,773572000
2004-05-17,2.112000,2.163500,2.027500,2.058500,2.058500,616126000
2004-05-24,2.064500,2.434000,2.058500,2.425000,2.425000,889956000
2004-05-31,2.393500,2.575500,2.385000,2.547500,2.547500,926816000
2004-06-07,2.584500,2.606000,2.463000,2.497000,2.497000,549422000
2004-06-14,2.467000,2.545500,2.452000,2.480000,2.480000,529664000
2004-06-21,2.472500,2.597000,2.412000,2.590000,2.590000,679274000
2004-06-28,2.619000,2.735000,2.591500,2.629500,2.629500,781334000
2004-07-05,2.627500,2.630000,2.391000,2.416000,2.416000,614798000
2004-07-12,2.411000,2.520000,2.339000,2.355000,2.355000,631446000
2004-07-19,2.363000,2.392500,1.978000,1.999000,1.999000,1582562000
2004-07-26,2.011500,2.012000,1.869000,1.946000,1.946000,978448000
2004-08-02,1.922500,1.954000,1.742500,1.774500,1.774500,867578000
2004-08-09,1.767000,1.867500,1.742500,1.806500,1.806500,855698000
2004-08-16,1.807000,2.024000,1.799000,1.975500,1.975500,967280000
2004-08-23,1.994500,2.041500,1.908000,1.995000,1.995000,632798000
2004-08-30,1.994000,2.000500,1.893000,1.937000,1.937000,601168000
2004-09-06,1.957500,1.968000,1.868000,1.928500,1.928500,480710000
2004-09-13,1.956500,2.214000,1.941000,2.148000,2.148000,1091078000
2004-09-20,2.135500,2.199500,2.042500,2.047000,2.047000,835028000
2004-09-27,2.045500,2.065000,1.948500,2.023500,2.023500,1018026000
2004-10-04,2.068000,2.135000,1.981500,2.000000,2.000000,739906000
2004-10-11,1.991500,2.077500,1.894000,1.927500,1.927500,816026000
2004-10-18,1.911500,2.009500,1.650000,1.730000,1.730000,1529114000
2004-10-25,1.700000,1.738500,1.675500,1.706500,1.706500,860944000
2004-11-01,1.711000,1.881000,1.707500,1.828000,1.828000,854428000
2004-11-08,1.837500,2.047000,1.835000,2.023000,2.023000,849052000
2004-11-15,2.023000,2.075000,1.909500,1.927500,1.927500,836908000
